review_unit	pr_number	title	source_tip	source_tip_reachable	current_source_commit_shas	current_source_objects_present	current_source_series_applies_from_base	selection_basis	integration_merge	equivalent_commit_shas	already_present_commit	source_commit_count	internal_merge_count	source_series_applies_from_base	method	recommended_command	exact_net_command	integrated_reproduction_command	inspect_command	inspect_full_command	command_note
PR-13399	13399	UniqueConstraint and Index withheld from table via attach_to_table flag, and appended to table via append_constraint	b060340fee665bf8159773b19403fae05dfd45e9		ec10bde77ab7d062e2c54b67279c7c16836d00a0,b1ac92a48293c27edb0cbb81d05b1a5a053cca7d,c81f57b8626485009fdf20c6e983f78f9f0c2a10,b6e57ace6847e3b9c6ebaf3d7ebcf5e37825401e,b060340fee665bf8159773b19403fae05dfd45e9	True	True	current-upstream-source-series	ee17e8cee0b835a6121cd02d3b21160bf08be1c9			5		True	cherry-pick-series	git cherry-pick ec10bde77ab7d062e2c54b67279c7c16836d00a0 b1ac92a48293c27edb0cbb81d05b1a5a053cca7d c81f57b8626485009fdf20c6e983f78f9f0c2a10 b6e57ace6847e3b9c6ebaf3d7ebcf5e37825401e b060340fee665bf8159773b19403fae05dfd45e9	git cherry-pick -m 1 ee17e8cee0b835a6121cd02d3b21160bf08be1c9	git cherry-pick -m 1 ee17e8cee0b835a6121cd02d3b21160bf08be1c9	git show --stat ec10bde77ab7d062e2c54b67279c7c16836d00a0 b1ac92a48293c27edb0cbb81d05b1a5a053cca7d c81f57b8626485009fdf20c6e983f78f9f0c2a10 b6e57ace6847e3b9c6ebaf3d7ebcf5e37825401e b060340fee665bf8159773b19403fae05dfd45e9	git show ec10bde77ab7d062e2c54b67279c7c16836d00a0 b1ac92a48293c27edb0cbb81d05b1a5a053cca7d c81f57b8626485009fdf20c6e983f78f9f0c2a10 b6e57ace6847e3b9c6ebaf3d7ebcf5e37825401e b060340fee665bf8159773b19403fae05dfd45e9	preserves the current upstream source commits and original authors in dependency order
PR-13404	13404	Subqueryload without per-row Row construction — ~26% on subqueryload	cfb38da22919d8a0618248b2024a9ce091132167		4ab8976b854ee377b646e1fbca61400457ccbf95,c568831f7b10bfe4d10ae94584a720a97161879f,0f25502a22dcc7e30778c8e910e45e9f4b2b2e15,cfb38da22919d8a0618248b2024a9ce091132167	True		validated-local-option-for-current-objective	e16498a837a796c9b63ea985ffa56a41307d8725			4	1		integration-merge-delta	git cherry-pick -m 1 e16498a837a796c9b63ea985ffa56a41307d8725	git cherry-pick -m 1 e16498a837a796c9b63ea985ffa56a41307d8725		git diff --stat e16498a837a796c9b63ea985ffa56a41307d8725^1 e16498a837a796c9b63ea985ffa56a41307d8725	git diff e16498a837a796c9b63ea985ffa56a41307d8725^1 e16498a837a796c9b63ea985ffa56a41307d8725	applies the exact integrated net change as one commit; the current upstream source series does not apply from the frozen base, so this packet selects the validated local equivalent
PR-13405	13405	# Cython batch instance processor — ~10–30% on most loads (collection joinedload −5%)	49b0ddcf550450bab7a848f54454e9c0e90dc808		19157ed2e4c47fb6ba7a377a39d0cb6b073fb733,44bc27cc5ac6257cedd1a84d9ec6386a1b067877,28aa3c3730f0d92404a369f388f9dfd8401a11cb,9c6a743121a8ffb786c5b4841e7a1d6100f61596,b0b19594d23bac7d3dc9c49fdb5ed7b89d214805,28ed542e92155442bbf9dd44be642f639685cea1,49b0ddcf550450bab7a848f54454e9c0e90dc808	True		validated-local-option-for-current-objective	18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4			7	2		integration-merge-delta	git cherry-pick -m 1 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4	git cherry-pick -m 1 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4		git diff --stat 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4^1 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4	git diff 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4^1 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4	applies the exact integrated net change as one commit; the current upstream source series does not apply from the frozen base, so this packet selects the validated local equivalent
PR-13415	13415	scalars/mappings performance improvement.	ae80daee6e5ee97962bcc24b0d0524390d717062		e11018f3f55026f7c1088e755d819d6dcbe34a45,85a415e061570900c785c990f31b529ad79c8de2,56bfe210f7d3f07bb0c4ca1e0e4f25a88435afe0,20e69583a72fb0f34bf1e6cea9cc52f34432983e,3d9c69483cf0c760d9148238d406a9db095bfa30,ae80daee6e5ee97962bcc24b0d0524390d717062	True	True	current-upstream-source-series	f6131e23d5a2990cced3ba7961e075a9cdaee499			6		True	cherry-pick-series	git cherry-pick e11018f3f55026f7c1088e755d819d6dcbe34a45 85a415e061570900c785c990f31b529ad79c8de2 56bfe210f7d3f07bb0c4ca1e0e4f25a88435afe0 20e69583a72fb0f34bf1e6cea9cc52f34432983e 3d9c69483cf0c760d9148238d406a9db095bfa30 ae80daee6e5ee97962bcc24b0d0524390d717062	git cherry-pick -m 1 f6131e23d5a2990cced3ba7961e075a9cdaee499	git cherry-pick -m 1 f6131e23d5a2990cced3ba7961e075a9cdaee499	git show --stat e11018f3f55026f7c1088e755d819d6dcbe34a45 85a415e061570900c785c990f31b529ad79c8de2 56bfe210f7d3f07bb0c4ca1e0e4f25a88435afe0 20e69583a72fb0f34bf1e6cea9cc52f34432983e 3d9c69483cf0c760d9148238d406a9db095bfa30 ae80daee6e5ee97962bcc24b0d0524390d717062	git show e11018f3f55026f7c1088e755d819d6dcbe34a45 85a415e061570900c785c990f31b529ad79c8de2 56bfe210f7d3f07bb0c4ca1e0e4f25a88435afe0 20e69583a72fb0f34bf1e6cea9cc52f34432983e 3d9c69483cf0c760d9148238d406a9db095bfa30 ae80daee6e5ee97962bcc24b0d0524390d717062	preserves the current upstream source commits and original authors in dependency order
PR-13416	13416	Perf/eager collection bulk extend	3a9ecdd777ae343b4952147691bc30bfbd7f2db7		cf1b9266751fe4b83fb99e8f81e6f416a5d75dd0,4a798bcc4f4e9791ad639967d898ebddac14d8eb,62a413b061f2d5f3f10e54ec3d56abed1b61cdd3,2b8b6115ca739bcab3f030be766df06b6ea2dda9,45e6612cc852f750afe3c14cfbd82d03d6e2e705,496d92c0bf189618b2a7b1b6737a482ffda4c21d,3a9ecdd777ae343b4952147691bc30bfbd7f2db7	True		validated-local-option-for-current-objective	2b0a69653a7e6aed88bd7b980212df645d8d18e2			7	1	True	cherry-pick-series	git cherry-pick 2c4d69047b2b22fd350484bd8ff1f5ec29ab482a 9af3aee8c8b73dc5f518fa13093f9679693a4470 002362be9366d283888f979488d8e368084f4df9 3a72cedaf86874cc50dc0bdf388fbb3c565d8b7e 6bcd57cc460377ceb587f6d2e3ae5ad52ffaf7d0 73f75bedbb607ccaafac8637ccfe6a9f60d9439c	git cherry-pick -m 1 2b0a69653a7e6aed88bd7b980212df645d8d18e2	git cherry-pick -m 1 2b0a69653a7e6aed88bd7b980212df645d8d18e2	git show --stat 2c4d69047b2b22fd350484bd8ff1f5ec29ab482a 9af3aee8c8b73dc5f518fa13093f9679693a4470 002362be9366d283888f979488d8e368084f4df9 3a72cedaf86874cc50dc0bdf388fbb3c565d8b7e 6bcd57cc460377ceb587f6d2e3ae5ad52ffaf7d0 73f75bedbb607ccaafac8637ccfe6a9f60d9439c	git show 2c4d69047b2b22fd350484bd8ff1f5ec29ab482a 9af3aee8c8b73dc5f518fa13093f9679693a4470 002362be9366d283888f979488d8e368084f4df9 3a72cedaf86874cc50dc0bdf388fbb3c565d8b7e 6bcd57cc460377ceb587f6d2e3ae5ad52ffaf7d0 73f75bedbb607ccaafac8637ccfe6a9f60d9439c	preserves original commit authors; the integration merge is available only as a reproduction path; the current upstream source series does not apply from the frozen base, so this packet selects the validated local equivalent
PR-13435	13435	Add log_note execution option	8aaecce464c52a6522e19dbe48b212ee71e00c46		8aaecce464c52a6522e19dbe48b212ee71e00c46	True	True	current-upstream-source-series	b98c4c225484e4352ef13575119da47f2c018a22			1		True	cherry-pick	git cherry-pick 8aaecce464c52a6522e19dbe48b212ee71e00c46	git cherry-pick -m 1 b98c4c225484e4352ef13575119da47f2c018a22	git cherry-pick -m 1 b98c4c225484e4352ef13575119da47f2c018a22	git show --stat 8aaecce464c52a6522e19dbe48b212ee71e00c46	git show 8aaecce464c52a6522e19dbe48b212ee71e00c46	preserves the current upstream source commits and original authors in dependency order
PR-13436	13436	docs: document @classmethod usage with @declared_attr for typing	9a6d0c40ce7c2b1f79be1d06e1a96b870ab9e645		7e8f5cb765c321e50d81f6ecb8b19b5f92546307,37160d9b0f8cedf00514266ce976895c0bf4a2a6,b5a6daa92105c6873b1df7199a18542fc8766568,9a6d0c40ce7c2b1f79be1d06e1a96b870ab9e645	True	True	current-upstream-source-series	f9642167327fb70fbd47dbd46867f9da836bc650			4		True	cherry-pick-series	git cherry-pick 7e8f5cb765c321e50d81f6ecb8b19b5f92546307 37160d9b0f8cedf00514266ce976895c0bf4a2a6 b5a6daa92105c6873b1df7199a18542fc8766568 9a6d0c40ce7c2b1f79be1d06e1a96b870ab9e645	git cherry-pick -m 1 f9642167327fb70fbd47dbd46867f9da836bc650	git cherry-pick -m 1 f9642167327fb70fbd47dbd46867f9da836bc650	git show --stat 7e8f5cb765c321e50d81f6ecb8b19b5f92546307 37160d9b0f8cedf00514266ce976895c0bf4a2a6 b5a6daa92105c6873b1df7199a18542fc8766568 9a6d0c40ce7c2b1f79be1d06e1a96b870ab9e645	git show 7e8f5cb765c321e50d81f6ecb8b19b5f92546307 37160d9b0f8cedf00514266ce976895c0bf4a2a6 b5a6daa92105c6873b1df7199a18542fc8766568 9a6d0c40ce7c2b1f79be1d06e1a96b870ab9e645	preserves the current upstream source commits and original authors in dependency order
PR-13442	13442	Add disconnect error handling for mssqlpython dialect	f1d6b6a4a82afef454837d5f6081b73085af88aa		3cc7f8f9bae3c588bbf8d2443e69343c6889bc2a,f1d6b6a4a82afef454837d5f6081b73085af88aa	True	True	current-upstream-source-series	c5d5d62fb6f9d1c7d631809f04d063633d0c4aee			2		True	cherry-pick-series	git cherry-pick 3cc7f8f9bae3c588bbf8d2443e69343c6889bc2a f1d6b6a4a82afef454837d5f6081b73085af88aa	git cherry-pick -m 1 c5d5d62fb6f9d1c7d631809f04d063633d0c4aee	git cherry-pick -m 1 c5d5d62fb6f9d1c7d631809f04d063633d0c4aee	git show --stat 3cc7f8f9bae3c588bbf8d2443e69343c6889bc2a f1d6b6a4a82afef454837d5f6081b73085af88aa	git show 3cc7f8f9bae3c588bbf8d2443e69343c6889bc2a f1d6b6a4a82afef454837d5f6081b73085af88aa	preserves the current upstream source commits and original authors in dependency order
PR-13452	13452	mssql: exclude LOB types from length assignment in column reflection	7a95286d2c1a18cdadb4efc806c5bbea210e1a06		87ad77f1a560d08bc2c74a1e141d5388fa464f48,e42e39d67e19206a79c800a5b0fddb9808367b80,7a95286d2c1a18cdadb4efc806c5bbea210e1a06	True	True	current-upstream-source-series	b63bd2dfe3291187fb9a2e1189ef61f780107cf1			3		True	cherry-pick-series	git cherry-pick 87ad77f1a560d08bc2c74a1e141d5388fa464f48 e42e39d67e19206a79c800a5b0fddb9808367b80 7a95286d2c1a18cdadb4efc806c5bbea210e1a06	git cherry-pick -m 1 b63bd2dfe3291187fb9a2e1189ef61f780107cf1	git cherry-pick -m 1 b63bd2dfe3291187fb9a2e1189ef61f780107cf1	git show --stat 87ad77f1a560d08bc2c74a1e141d5388fa464f48 e42e39d67e19206a79c800a5b0fddb9808367b80 7a95286d2c1a18cdadb4efc806c5bbea210e1a06	git show 87ad77f1a560d08bc2c74a1e141d5388fa464f48 e42e39d67e19206a79c800a5b0fddb9808367b80 7a95286d2c1a18cdadb4efc806c5bbea210e1a06	preserves the current upstream source commits and original authors in dependency order
PR-13453	13453	docs: add async-specific note to expire/expire_all proxied docstrings	c1d697657de30b8762681905fc46620607aa6263		c1d697657de30b8762681905fc46620607aa6263	True	True	current-upstream-source-series	cebf6c5656bd21979d0ecdea984f59cfd2f2b87f			1		True	cherry-pick	git cherry-pick c1d697657de30b8762681905fc46620607aa6263	git cherry-pick -m 1 cebf6c5656bd21979d0ecdea984f59cfd2f2b87f	git cherry-pick -m 1 cebf6c5656bd21979d0ecdea984f59cfd2f2b87f	git show --stat c1d697657de30b8762681905fc46620607aa6263	git show c1d697657de30b8762681905fc46620607aa6263	preserves the current upstream source commits and original authors in dependency order
PR-13455	13455	Add postgresql_unnamed Index option to support nameless CREATE INDEX on PostgreSQL	82e8ccda1fc4f055845070d8e776e6d702d9a410		4e812c2d8440a3946afb90c3c400ff42a7c499c1,fc0941b6887dd549290051450d337565b6744206,9485451520bd75520b82b14d56bac9b33a0dd909,2125396d2fbf150e18b0f05643279f9453ade8e4,95185cb882258bc3c623bfdaa5b9559be1198dc8,045c820e47975ca8e27e0c405978ae1504d13333,82e8ccda1fc4f055845070d8e776e6d702d9a410	True	True	current-upstream-source-series	7661d0dba7ad1a65918ca3e44daccc2385db3fcb			7		True	cherry-pick-series	git cherry-pick 4e812c2d8440a3946afb90c3c400ff42a7c499c1 fc0941b6887dd549290051450d337565b6744206 9485451520bd75520b82b14d56bac9b33a0dd909 2125396d2fbf150e18b0f05643279f9453ade8e4 95185cb882258bc3c623bfdaa5b9559be1198dc8 045c820e47975ca8e27e0c405978ae1504d13333 82e8ccda1fc4f055845070d8e776e6d702d9a410	git cherry-pick -m 1 7661d0dba7ad1a65918ca3e44daccc2385db3fcb	git cherry-pick -m 1 7661d0dba7ad1a65918ca3e44daccc2385db3fcb	git show --stat 4e812c2d8440a3946afb90c3c400ff42a7c499c1 fc0941b6887dd549290051450d337565b6744206 9485451520bd75520b82b14d56bac9b33a0dd909 2125396d2fbf150e18b0f05643279f9453ade8e4 95185cb882258bc3c623bfdaa5b9559be1198dc8 045c820e47975ca8e27e0c405978ae1504d13333 82e8ccda1fc4f055845070d8e776e6d702d9a410	git show 4e812c2d8440a3946afb90c3c400ff42a7c499c1 fc0941b6887dd549290051450d337565b6744206 9485451520bd75520b82b14d56bac9b33a0dd909 2125396d2fbf150e18b0f05643279f9453ade8e4 95185cb882258bc3c623bfdaa5b9559be1198dc8 045c820e47975ca8e27e0c405978ae1504d13333 82e8ccda1fc4f055845070d8e776e6d702d9a410	preserves the current upstream source commits and original authors in dependency order
PR-13457	13457	Add support for multiple on-conflict clauses in inserts on SQLite	356885a839850344cfdc0818b1d6bb64ee61c417		5737a208d477d757d7239edcd9bd1d0f808d6536,356885a839850344cfdc0818b1d6bb64ee61c417	True	True	current-upstream-source-series	38c2c8af32d99fc6eadbbd5651c0230a90a7413e			2		True	cherry-pick-series	git cherry-pick 5737a208d477d757d7239edcd9bd1d0f808d6536 356885a839850344cfdc0818b1d6bb64ee61c417	git cherry-pick -m 1 38c2c8af32d99fc6eadbbd5651c0230a90a7413e	git cherry-pick -m 1 38c2c8af32d99fc6eadbbd5651c0230a90a7413e	git show --stat 5737a208d477d757d7239edcd9bd1d0f808d6536 356885a839850344cfdc0818b1d6bb64ee61c417	git show 5737a208d477d757d7239edcd9bd1d0f808d6536 356885a839850344cfdc0818b1d6bb64ee61c417	preserves the current upstream source commits and original authors in dependency order
PR-13461	13461	escape backslashes in mysql enum/set value rendering	40ab70080bab9cdd63fc1ce40f9e3064ae6023af	True	40ab70080bab9cdd63fc1ce40f9e3064ae6023af	True	True	current-upstream-source-series	817011f2531cbe6d939e68859b5a01a2846d3088			1		True	cherry-pick	git cherry-pick 40ab70080bab9cdd63fc1ce40f9e3064ae6023af	git cherry-pick -m 1 817011f2531cbe6d939e68859b5a01a2846d3088	git cherry-pick -m 1 817011f2531cbe6d939e68859b5a01a2846d3088	git show --stat 40ab70080bab9cdd63fc1ce40f9e3064ae6023af	git show 40ab70080bab9cdd63fc1ce40f9e3064ae6023af	preserves the current upstream source commits and original authors in dependency order
PR-13465	13465	Add deprecation warnings for SQLite mode= pool-selection heuristics	fc50a9837fd50334450ee6c9dd645db1b27b4dad		0652cc62247eef64d95b1ded25cab707e382aa17,fc50a9837fd50334450ee6c9dd645db1b27b4dad	True	True	current-upstream-source-series				2		True	cherry-pick-series	git cherry-pick 0652cc62247eef64d95b1ded25cab707e382aa17 fc50a9837fd50334450ee6c9dd645db1b27b4dad	git merge --squash fc50a9837fd50334450ee6c9dd645db1b27b4dad		git show --stat 0652cc62247eef64d95b1ded25cab707e382aa17 fc50a9837fd50334450ee6c9dd645db1b27b4dad	git show 0652cc62247eef64d95b1ded25cab707e382aa17 fc50a9837fd50334450ee6c9dd645db1b27b4dad	preserves the current upstream source commits and original authors in dependency order
