issue_number	title	closure_mode	review_units	commit_shas	inspect_command	inspect_full_command	recommended_command	why_no_command	review_kind	shared_unit	apply_once	covered_issue_numbers	changed_files	overlap_units	packet_path
6511	add support for reflection of collation in types (postgresql only, include collate_schema)	verified_local_option_closure	COLLATION-SCHEMA	da97028686f10cbceae7ea1e27480919a7b3287f	git show --stat da97028686f10cbceae7ea1e27480919a7b3287f	git show da97028686f10cbceae7ea1e27480919a7b3287f	git cherry-pick da97028686f10cbceae7ea1e27480919a7b3287f		standalone-commit	True	True	6511,9693	doc/build/changelog/unreleased_20/12698.rst,doc/build/changelog/unreleased_20/6511.rst,doc/build/changelog/unreleased_20/9693.rst,lib/sqlalchemy/dialects/postgresql/base.py,lib/sqlalchemy/dialects/postgresql/named_types.py,lib/sqlalchemy/sql/_elements_constructors.py,lib/sqlalchemy/sql/compiler.py,lib/sqlalchemy/sql/elements.py,lib/sqlalchemy/sql/sqltypes.py,lib/sqlalchemy/sql/type_api.py,test/dialect/postgresql/test_compiler.py,test/dialect/postgresql/test_reflection.py,test/dialect/postgresql/test_types.py,test/engine/test_reflection.py,test/sql/test_compiler.py,test/sql/test_operators.py,test/sql/test_quote.py,test/sql/test_types.py	COMMIT-0d62dfb5241d64999750e68d5896df60e47c490e,COMMIT-27f4a913f99cc99fdf40491746e78d4b71d03d3b,COMMIT-32b7e6e7e186a23923692e53faf9cb1110b620d4,COMMIT-43136535d03a5f190275ea389cb8c5fe380df672,COMMIT-483d715186d7a0d176dc749bb358861f6b31d81d,COMMIT-82fd41fc014568568babf5b6868d058541173572,COMMIT-ac07c1976b5e3860ff070c078d044995a28c3918,COMMIT-d5244bbb9527a9161a7fc08cc21d5fb240f1dd42,PR-13303,PR-13323,PR-13455,PR-13465	review_packets/ISSUE-UNIT-COLLATION-SCHEMA.md
6612	Cannot build SQL expression NOT(x IS NULL) on Postgres	verified_local_option_closure	COMMIT-d5244bbb9527a9161a7fc08cc21d5fb240f1dd42	d5244bbb9527a9161a7fc08cc21d5fb240f1dd42	git show --stat d5244bbb9527a9161a7fc08cc21d5fb240f1dd42	git show d5244bbb9527a9161a7fc08cc21d5fb240f1dd42	git cherry-pick d5244bbb9527a9161a7fc08cc21d5fb240f1dd42		standalone-commit			6612	doc/build/changelog/unreleased_21/6612.rst,lib/sqlalchemy/sql/elements.py,lib/sqlalchemy/sql/sqltypes.py,test/sql/test_operators.py	COLLATION-SCHEMA,COMMIT-0d62dfb5241d64999750e68d5896df60e47c490e,COMMIT-27f4a913f99cc99fdf40491746e78d4b71d03d3b,COMMIT-ac07c1976b5e3860ff070c078d044995a28c3918	review_packets/ISSUE-6612.md
6860	smoother with_parent() failure modes	verified_local_option_closure	COMMIT-929a60a51600654eca0b153cc968979f8b24498f	929a60a51600654eca0b153cc968979f8b24498f	git show --stat 929a60a51600654eca0b153cc968979f8b24498f	git show 929a60a51600654eca0b153cc968979f8b24498f	git cherry-pick 929a60a51600654eca0b153cc968979f8b24498f		standalone-commit			6860	doc/build/changelog/unreleased_21/6860.rst,lib/sqlalchemy/orm/util.py,test/orm/test_query.py		review_packets/ISSUE-6860.md
6874	Please work harder to figure out parameter types for sequences	verified_local_option_closure	COMMIT-27f4a913f99cc99fdf40491746e78d4b71d03d3b	27f4a913f99cc99fdf40491746e78d4b71d03d3b	git show --stat 27f4a913f99cc99fdf40491746e78d4b71d03d3b	git show 27f4a913f99cc99fdf40491746e78d4b71d03d3b	git cherry-pick 27f4a913f99cc99fdf40491746e78d4b71d03d3b		standalone-commit			6874	doc/build/changelog/unreleased_21/6874.rst,lib/sqlalchemy/sql/elements.py,test/sql/test_types.py	COLLATION-SCHEMA,COMMIT-d5244bbb9527a9161a7fc08cc21d5fb240f1dd42	review_packets/ISSUE-6874.md
7149	Automap: prefer snake_case over lower() for relationship attribute names	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			7149			review_packets/ISSUE-7149.md
7360	replace use of the term "primary key identifier" with "identity key" for ORM documentation / methods that refer to the identity map	verified_local_option_closure	COMMIT-2a8d83a114a17208b2430d3f3c4ce39f23338daa	2a8d83a114a17208b2430d3f3c4ce39f23338daa	git show --stat 2a8d83a114a17208b2430d3f3c4ce39f23338daa	git show 2a8d83a114a17208b2430d3f3c4ce39f23338daa	git cherry-pick 2a8d83a114a17208b2430d3f3c4ce39f23338daa		standalone-commit			7360	doc/build/changelog/unreleased_21/7360.rst,lib/sqlalchemy/orm/exc.py,lib/sqlalchemy/orm/query.py,lib/sqlalchemy/orm/scoping.py,lib/sqlalchemy/orm/session.py		review_packets/ISSUE-7360.md
7366	extend_existing will add copies of indexes, constraints, etc. as there is no deduplication on name	verified_local_option_closure	COMMIT-43136535d03a5f190275ea389cb8c5fe380df672	43136535d03a5f190275ea389cb8c5fe380df672	git show --stat 43136535d03a5f190275ea389cb8c5fe380df672	git show 43136535d03a5f190275ea389cb8c5fe380df672	git cherry-pick 43136535d03a5f190275ea389cb8c5fe380df672		standalone-commit			7366	doc/build/changelog/unreleased_21/7366.rst,lib/sqlalchemy/engine/reflection.py,test/engine/test_reflection.py	COLLATION-SCHEMA	review_packets/ISSUE-7366.md
7517	Better document `expanding=True` on a bind parameter	verified_local_option_closure						the available commit series does not apply cleanly from the frozen upstream base, so no standalone apply command is asserted	no-exact-unit			7517			review_packets/ISSUE-7517.md
7732	add new execution option "log_note", implement for ORM queries	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			7732			review_packets/ISSUE-7732.md
8341	support MySQL 8.0.13's new magical syntax for function server defaults	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			8341			review_packets/ISSUE-8341.md
8693	sp_reset_connection not called on reused connections in pool. (MSSQL)	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			8693			review_packets/ISSUE-8693.md
8805	Some tests for dialect ignores lack of support of CHECK CONSTRAINT	verified_local_option_closure	COMMIT-8ed8f153ee55da01b8c2667d5b87460bf2b2053f	8ed8f153ee55da01b8c2667d5b87460bf2b2053f	git show --stat 8ed8f153ee55da01b8c2667d5b87460bf2b2053f	git show 8ed8f153ee55da01b8c2667d5b87460bf2b2053f	git cherry-pick 8ed8f153ee55da01b8c2667d5b87460bf2b2053f		standalone-commit			8805	README.dialects.rst,doc/build/changelog/unreleased_21/8805.rst		review_packets/ISSUE-8805.md
8894	Improve documentation to make classes use the "public" module	verified_local_option_closure	COMMIT-09385c459627b0cb24d72e616bb718bd10a57e81	09385c459627b0cb24d72e616bb718bd10a57e81	git show --stat 09385c459627b0cb24d72e616bb718bd10a57e81	git show 09385c459627b0cb24d72e616bb718bd10a57e81	git cherry-pick 09385c459627b0cb24d72e616bb718bd10a57e81		standalone-commit			8894	doc/build/changelog/changelog_07.rst,doc/build/changelog/changelog_08.rst,doc/build/changelog/changelog_09.rst,doc/build/changelog/changelog_10.rst,doc/build/changelog/migration_11.rst,doc/build/changelog/unreleased_21/8894.rst,doc/build/conf.py,doc/build/core/connections.rst,doc/build/core/constraints.rst,doc/build/core/custom_types.rst,doc/build/core/ddl.rst,doc/build/core/defaults.rst,doc/build/core/dml.rst,doc/build/core/engines.rst,doc/build/core/internals.rst,doc/build/core/metadata.rst,doc/build/core/pooling.rst,doc/build/core/reflection.rst,doc/build/core/schema.rst,doc/build/orm/extensions/asyncio.rst,doc/build/orm/persistence_techniques.rst		review_packets/ISSUE-8894.md
8936	Make the new PG Range aware of the its bounds data type	verified_local_option_closure	COMMIT-32b7e6e7e186a23923692e53faf9cb1110b620d4	32b7e6e7e186a23923692e53faf9cb1110b620d4	git show --stat 32b7e6e7e186a23923692e53faf9cb1110b620d4	git show 32b7e6e7e186a23923692e53faf9cb1110b620d4	git cherry-pick 32b7e6e7e186a23923692e53faf9cb1110b620d4		standalone-commit			8936	doc/build/changelog/unreleased_21/8936.rst,lib/sqlalchemy/dialects/postgresql/ranges.py,test/dialect/postgresql/test_types.py	COLLATION-SCHEMA	review_packets/ISSUE-8936.md
8992	tuple expanding params do not render bind_expression() for elements	integrated_current_pr_objective	PR-13323		git show --stat 32ebdc7a508ea6c32d5152b32bf96451614ccf5d	git show 32ebdc7a508ea6c32d5152b32bf96451614ccf5d	git cherry-pick 32ebdc7a508ea6c32d5152b32bf96451614ccf5d		pull-request-unit			8992	lib/sqlalchemy/sql/compiler.py,test/sql/test_type_expressions.py	COLLATION-SCHEMA,COMMIT-82fd41fc014568568babf5b6868d058541173572	review_packets/PR-13323.md
9082	eager_defaults shouldn't be needed for pk returning even if cols are not actual pks	verified_local_option_closure	COMMIT-019dfdaddee18c126a416ae920debc966400e68b	019dfdaddee18c126a416ae920debc966400e68b	git show --stat 019dfdaddee18c126a416ae920debc966400e68b	git show 019dfdaddee18c126a416ae920debc966400e68b	git cherry-pick 019dfdaddee18c126a416ae920debc966400e68b		standalone-commit			9082	doc/build/changelog/unreleased_21/9082.rst,lib/sqlalchemy/orm/persistence.py,test/orm/test_defaults.py	COMMIT-cb16d59854e4fa8bcbbeeed6f4938996c1763481	review_packets/ISSUE-9082.md
9147	declarative builds permanent strong ref to classes that use declare_first or declare_last	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			9147			review_packets/ISSUE-9147.md
9212	add additional type migration section to whatsnew detailing declared_attr format changes, others	verified_local_option_closure	COMMIT-a184b039a48fc3b993346be39277cf58c64ade41	a184b039a48fc3b993346be39277cf58c64ade41	git show --stat a184b039a48fc3b993346be39277cf58c64ade41	git show a184b039a48fc3b993346be39277cf58c64ade41	git cherry-pick a184b039a48fc3b993346be39277cf58c64ade41		standalone-commit			9212	doc/build/changelog/whatsnew_20.rst		review_packets/ISSUE-9212.md
9213	document `@classmethod` add for all `@declared_attr` to work w/ typing	integrated_current_pr_objective	PR-13436		git show --stat 7e8f5cb765c321e50d81f6ecb8b19b5f92546307 37160d9b0f8cedf00514266ce976895c0bf4a2a6 b5a6daa92105c6873b1df7199a18542fc8766568 9a6d0c40ce7c2b1f79be1d06e1a96b870ab9e645	git show 7e8f5cb765c321e50d81f6ecb8b19b5f92546307 37160d9b0f8cedf00514266ce976895c0bf4a2a6 b5a6daa92105c6873b1df7199a18542fc8766568 9a6d0c40ce7c2b1f79be1d06e1a96b870ab9e645	git cherry-pick 7e8f5cb765c321e50d81f6ecb8b19b5f92546307 37160d9b0f8cedf00514266ce976895c0bf4a2a6 b5a6daa92105c6873b1df7199a18542fc8766568 9a6d0c40ce7c2b1f79be1d06e1a96b870ab9e645		pull-request-unit			9213	doc/build/changelog/unreleased_21/9213.rst,lib/sqlalchemy/orm/decl_api.py,test/typing/plain_files/orm/declared_attr_classmethod.py	COMMIT-245794ed686f9e165121f7e53d69fbcd806b2b45	review_packets/PR-13436.md
9233	Expression index does not list all the columns	verified_local_option_closure	COMMIT-c004cf4aabfa967ae4a38f2569b318b0de4923db	c004cf4aabfa967ae4a38f2569b318b0de4923db	git show --stat c004cf4aabfa967ae4a38f2569b318b0de4923db	git show c004cf4aabfa967ae4a38f2569b318b0de4923db	git cherry-pick c004cf4aabfa967ae4a38f2569b318b0de4923db		standalone-commit			9233	doc/build/changelog/unreleased_21/9233.rst,lib/sqlalchemy/sql/schema.py,test/sql/test_constraints.py	PR-13399	review_packets/ISSUE-9233.md
9301	Support mapped attributes that have deferred definitions	verified_local_option_closure	COMMIT-bf08cd63b4401bc315d64a1f05c0b98c4d07ccec	bf08cd63b4401bc315d64a1f05c0b98c4d07ccec	git show --stat bf08cd63b4401bc315d64a1f05c0b98c4d07ccec	git show bf08cd63b4401bc315d64a1f05c0b98c4d07ccec	git cherry-pick bf08cd63b4401bc315d64a1f05c0b98c4d07ccec		standalone-commit			9301	doc/build/orm/mapped_sql_expr.rst,test/typing/plain_files/orm/late_mapped_attribute.py		review_packets/ISSUE-9301.md
9348	modify expunge() operation in uow to cascade along delete-orphan in addition to expunge	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			9348			review_packets/ISSUE-9348.md
9369	allow_unmapped seems to not be honored in all cases	verified_local_option_closure	COMMIT-f22279bfce1370cca4801a6b14119ac0833f9a84	f22279bfce1370cca4801a6b14119ac0833f9a84	git show --stat f22279bfce1370cca4801a6b14119ac0833f9a84	git show f22279bfce1370cca4801a6b14119ac0833f9a84	git cherry-pick f22279bfce1370cca4801a6b14119ac0833f9a84		standalone-commit			9369	doc/build/changelog/unreleased_21/9369.rst,lib/sqlalchemy/orm/decl_base.py,test/orm/declarative/test_tm_future_annotations_sync.py,test/orm/declarative/test_typed_mapping.py	PR-13289	review_packets/ISSUE-9369.md
9410	document dataclass gotchas so far	verified_local_option_closure	COMMIT-168923e135fc82b0b5a01b2b91a69725c7b7ecf5	168923e135fc82b0b5a01b2b91a69725c7b7ecf5	git show --stat 168923e135fc82b0b5a01b2b91a69725c7b7ecf5	git show 168923e135fc82b0b5a01b2b91a69725c7b7ecf5	git cherry-pick 168923e135fc82b0b5a01b2b91a69725c7b7ecf5		standalone-commit			9410	doc/build/orm/dataclasses.rst		review_packets/ISSUE-9410.md
9425	tighten up compoundselect + textualselect use cases	verified_local_option_closure	COMMIT-82fd41fc014568568babf5b6868d058541173572	82fd41fc014568568babf5b6868d058541173572	git show --stat 82fd41fc014568568babf5b6868d058541173572	git show 82fd41fc014568568babf5b6868d058541173572	git cherry-pick 82fd41fc014568568babf5b6868d058541173572		standalone-commit			9425	doc/build/changelog/unreleased_21/9425.rst,lib/sqlalchemy/sql/compiler.py,test/sql/test_compiler.py	COLLATION-SCHEMA,PR-13323	review_packets/ISSUE-9425.md
9493	MappedAsDataclass inherits dataclasses attributes, while the spec says they don't	verified_local_option_closure	COMMIT-245794ed686f9e165121f7e53d69fbcd806b2b45	245794ed686f9e165121f7e53d69fbcd806b2b45	git show --stat 245794ed686f9e165121f7e53d69fbcd806b2b45	git show 245794ed686f9e165121f7e53d69fbcd806b2b45	git cherry-pick 245794ed686f9e165121f7e53d69fbcd806b2b45		standalone-commit			9493	doc/build/changelog/unreleased_21/9493.rst,lib/sqlalchemy/orm/decl_api.py,test/orm/declarative/test_dc_transforms.py,test/orm/declarative/test_dc_transforms_future_anno_sync.py	PR-13436	review_packets/ISSUE-9493.md
9548	relationship loader options do a "recursive" thing inconsistently	verified_local_option_closure	COMMIT-626eb012e7adecec2516a20ee8a515b4e1cb6250	626eb012e7adecec2516a20ee8a515b4e1cb6250	git show --stat 626eb012e7adecec2516a20ee8a515b4e1cb6250	git show 626eb012e7adecec2516a20ee8a515b4e1cb6250	git cherry-pick 626eb012e7adecec2516a20ee8a515b4e1cb6250		standalone-commit			9548	doc/build/changelog/unreleased_21/9548.rst,doc/build/orm/queryguide/relationships.rst,lib/sqlalchemy/orm/path_registry.py,lib/sqlalchemy/orm/strategy_options.py,test/orm/test_default_strategies.py		review_packets/ISSUE-9548.md
9693	support DDL / SQL time rendering of collation schema across all constructs that include a collation	carried_dropped_pr_repair_objective	COLLATION-SCHEMA	da97028686f10cbceae7ea1e27480919a7b3287f	git show --stat da97028686f10cbceae7ea1e27480919a7b3287f	git show da97028686f10cbceae7ea1e27480919a7b3287f	git cherry-pick da97028686f10cbceae7ea1e27480919a7b3287f		standalone-commit	True	True	6511,9693	doc/build/changelog/unreleased_20/12698.rst,doc/build/changelog/unreleased_20/6511.rst,doc/build/changelog/unreleased_20/9693.rst,lib/sqlalchemy/dialects/postgresql/base.py,lib/sqlalchemy/dialects/postgresql/named_types.py,lib/sqlalchemy/sql/_elements_constructors.py,lib/sqlalchemy/sql/compiler.py,lib/sqlalchemy/sql/elements.py,lib/sqlalchemy/sql/sqltypes.py,lib/sqlalchemy/sql/type_api.py,test/dialect/postgresql/test_compiler.py,test/dialect/postgresql/test_reflection.py,test/dialect/postgresql/test_types.py,test/engine/test_reflection.py,test/sql/test_compiler.py,test/sql/test_operators.py,test/sql/test_quote.py,test/sql/test_types.py	COMMIT-0d62dfb5241d64999750e68d5896df60e47c490e,COMMIT-27f4a913f99cc99fdf40491746e78d4b71d03d3b,COMMIT-32b7e6e7e186a23923692e53faf9cb1110b620d4,COMMIT-43136535d03a5f190275ea389cb8c5fe380df672,COMMIT-483d715186d7a0d176dc749bb358861f6b31d81d,COMMIT-82fd41fc014568568babf5b6868d058541173572,COMMIT-ac07c1976b5e3860ff070c078d044995a28c3918,COMMIT-d5244bbb9527a9161a7fc08cc21d5fb240f1dd42,PR-13303,PR-13323,PR-13455,PR-13465	review_packets/ISSUE-UNIT-COLLATION-SCHEMA.md
9839	document network-related caveats for insertmanyvalues	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			9839			review_packets/ISSUE-9839.md
9930	need docs /warnings that `__init__` is not called on load	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			9930			review_packets/ISSUE-9930.md
9944	Reflect don't recognize foreign tables in postgresql	verified_local_option_closure	COMMIT-483d715186d7a0d176dc749bb358861f6b31d81d	483d715186d7a0d176dc749bb358861f6b31d81d	git show --stat 483d715186d7a0d176dc749bb358861f6b31d81d	git show 483d715186d7a0d176dc749bb358861f6b31d81d	git cherry-pick 483d715186d7a0d176dc749bb358861f6b31d81d		standalone-commit			9944	doc/build/changelog/unreleased_21/9944.rst,lib/sqlalchemy/dialects/postgresql/base.py	COLLATION-SCHEMA,PR-13303,PR-13455	review_packets/ISSUE-9944.md
10094	document asyncio gotchas so far	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			10094			review_packets/ISSUE-10094.md
10116	re-entrant handle_error call if an exception is raised in result.all() within a DML process	verified_local_option_closure	COMMIT-0c2c8eacc041dd069c86806e781a8d198a590b9b	0c2c8eacc041dd069c86806e781a8d198a590b9b	git show --stat 0c2c8eacc041dd069c86806e781a8d198a590b9b	git show 0c2c8eacc041dd069c86806e781a8d198a590b9b	git cherry-pick 0c2c8eacc041dd069c86806e781a8d198a590b9b		standalone-commit			10116	doc/build/changelog/unreleased_21/10116.rst,lib/sqlalchemy/engine/events.py		review_packets/ISSUE-10116.md
10380	Declaring Composite Column Types as Optional leads to NULL data type for constituent columns in table definition	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			10380			review_packets/ISSUE-10380.md
10527	Wrong typing for `with_for_update()`'s `of` argument.	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			10527			review_packets/ISSUE-10527.md
10541	Improve scalars performance by trying to avoid the creation of a Row	verified_local_option_closure	COMMIT-c6366f7e453e992665a000fba3ab23e5136499e4	c6366f7e453e992665a000fba3ab23e5136499e4	git show --stat c6366f7e453e992665a000fba3ab23e5136499e4	git show c6366f7e453e992665a000fba3ab23e5136499e4	git cherry-pick c6366f7e453e992665a000fba3ab23e5136499e4		standalone-commit			10541	lib/sqlalchemy/engine/_result_cy.py,lib/sqlalchemy/engine/result.py,test/base/test_result.py		review_packets/ISSUE-10541.md
10544	pysqlcipher open fail with err: TypeError: function takes at most 3 arguments (4 given) in dbapi_connection.create_function	verified_local_option_closure	COMMIT-0120e74078d09e0acc868507317045e5a6a51007	0120e74078d09e0acc868507317045e5a6a51007	git show --stat 0120e74078d09e0acc868507317045e5a6a51007	git show 0120e74078d09e0acc868507317045e5a6a51007	git cherry-pick 0120e74078d09e0acc868507317045e5a6a51007		standalone-commit			10544	doc/build/changelog/unreleased_21/10544.rst,lib/sqlalchemy/dialects/sqlite/pysqlcipher.py,lib/sqlalchemy/dialects/sqlite/pysqlite.py,test/dialect/sqlite/test_dialect.py	PR-13465	review_packets/ISSUE-10544.md
10742	Bad PrimaryKeyConstraint metadata for MSSQL temporary table	verified_upstream_resolved						the required behavior is already present in the frozen upstream base	no-pick-needed			10742			review_packets/ISSUE-10742.md
10835	sqlalchemy.util.OrderedSet does not work with v2 in ORM mappings	verified_local_option_closure						the available commit series does not apply cleanly from the frozen upstream base, so no standalone apply command is asserted	no-exact-unit			10835			review_packets/ISSUE-10835.md
10888	OrderingList typing incorrect / incomplete and implementation doesn't accept non-int indices	verified_local_option_closure	COMMIT-eee3fb2285fda2db38ff88b337d2a53c71f124bd	eee3fb2285fda2db38ff88b337d2a53c71f124bd	git show --stat eee3fb2285fda2db38ff88b337d2a53c71f124bd	git show eee3fb2285fda2db38ff88b337d2a53c71f124bd	git cherry-pick eee3fb2285fda2db38ff88b337d2a53c71f124bd		standalone-commit			10888	lib/sqlalchemy/ext/orderinglist.py,lib/sqlalchemy/orm/collections.py,test/ext/test_orderinglist.py		review_packets/ISSUE-10888.md
10960	"implicit combining column" warning not emitting for two columns from two different aliases against same parent table	verified_local_option_closure	COMMIT-bc15f973a29a80d8f0061105b2a704a5cfbdc482	bc15f973a29a80d8f0061105b2a704a5cfbdc482	git show --stat bc15f973a29a80d8f0061105b2a704a5cfbdc482	git show bc15f973a29a80d8f0061105b2a704a5cfbdc482	git cherry-pick bc15f973a29a80d8f0061105b2a704a5cfbdc482		standalone-commit			10960	doc/build/changelog/unreleased_21/10960.rst,lib/sqlalchemy/orm/mapper.py,test/orm/test_mapper.py	PR-13405	review_packets/ISSUE-10960.md
